iter	Passed	Remaining
398	292030	439875
399	292762	439144
400	293477	438387
401	294230	437685
402	294904	436868
403	295180	435464
404	295898	434715
405	296614	433963
406	297345	433233
407	298097	432533
408	298707	431628
409	299394	430835
410	300056	430007
411	300850	429369
412	301624	428701
413	302315	427914
414	303045	427185
415	303805	426496
416	304496	425710
417	304826	424423
418	305498	423614
419	306400	423123
420	307037	422267
421	307678	421417
422	308375	420644
423	309093	419901
424	309677	418975
425	310426	418274
426	311168	417562
427	311860	416786
428	312535	415986
429	313238	415223
430	313994	414531
431	314742	413828
432	315453	413076
433	316180	412346
434	316920	411632
435	317682	410947
436	318294	410068
437	319045	409369
438	319788	408659
439	320601	408038
440	321304	407276
441	322013	406524
442	322669	405704
443	323362	404932
444	324154	404282
445	324869	403538
446	325637	402858
447	326447	402229
448	327252	401595
449	328011	400902
450	328747	400183
451	329539	399530
452	330415	398978
453	331256	398382
454	331990	397658
455	332485	396649
456	333167	395864
457	333892	395129
458	334640	394423
459	335342	393662
460	336058	392918
461	336823	392231
462	337471	391408
463	338131	390600
464	338836	389844
465	339501	389042
466	340181	388257
467	340882	387498
468	341568	386722
469	342301	385999
470	343039	385281
471	343778	384565
472	344455	383779
473	345137	383000
474	345839	382243
475	346511	381453
476	347300	380792
477	348046	380084
478	348754	379333
479	349372	378486
480	350129	377790
481	350884	377091
482	351636	376388
483	352300	375593
484	353017	374853
485	353831	374216
486	354612	373544
487	355412	372891
488	356242	372269
489	357062	371636
490	357772	370888
491	358589	370250
492	359330	369534
493	360029	368775
494	360737	368025
495	361431	367260
496	362125	366497
497	362865	365780
498	363601	365058
499	364403	364403
500	365171	363714
501	365877	362962
502	366625	362252
503	367391	361560
504	367891	360606
505	368666	359923
506	369387	359187
507	370124	358466
508	370857	357742
509	371525	356955
510	372197	356173
511	372971	355488
512	373688	354748
513	374372	353978
514	375132	353279
515	375788	352484
516	376396	351643
517	377108	350899
518	377789	350128
519	378526	349408
520	379146	348581
521	379939	347913
522	380774	347284
523	381566	346613
524	382300	345891
525	383010	345146
526	383775	344451
527	384493	343714
528	385234	342996
529	385951	342259
530	386740	341584
531	387526	340907
532	388226	340153
533	388980	339447
534	389678	338692
535	390491	338037
536	391173	337268
537	391849	336495
538	392510	335709
539	393189	334939
540	393962	334248
541	394678	333510
542	395363	332746
543	396104	332028
544	396835	331303
545	397598	330604
546	398278	329835
547	398994	329097
548	399711	328360
549	400382	327585
550	401061	326818
551	401779	326082
552	402570	325404
553	403348	324717
554	404080	323992
555	404779	323241
556	405511	322516
557	406219	321772
558	406947	321044
559	407472	320157
560	408201	319430
561	408951	318720
562	409697	318007
563	410474	317317
564	411187	316577
565	411924	315857
566	412538	315042
567	413245	314299
568	413960	313562
569	414613	312778
570	415344	312053
571	416061	311318
572	416774	310580
573	417466	309826
574	418196	309101
575	418920	308371
576	419596	307607
577	420333	306887
578	421059	306159
579	421860	305484
580	422753	304877
581	423463	304136
582	424258	303457
583	425053	302777
584	425729	302013
585	426470	301294
586	427157	300538
587	427938	299848
588	428634	299098
589	429271	298307
590	429905	297514
591	430591	296759
592	431328	296038
593	432055	295310
594	432758	294566
595	433468	293827
596	434297	293169
597	435048	292457
598	435815	291755
599	436567	291045
600	437200	290254
601	437866	289486
602	438571	288744
603	439290	288011
604	439919	287219
605	440682	286516
606	441349	285750
607	442095	285035
608	442765	284271
609	443527	283566
610	444305	282871
611	444960	282099
612	445668	281359
613	446401	280636
614	447063	279868
615	447777	279133
616	448536	278426
617	449261	277698
618	449956	276952
619	450709	276241
620	451450	275522
621	452148	274778
622	452832	274025
623	453514	273271
624	454215	272529
625	454961	271813
626	455642	271059
627	456564	270448
628	457222	269681
629	458005	268987
630	458751	268271
631	459557	267590
632	460403	266932
633	461177	266231
634	462045	265585
635	462977	264974
636	463870	264340
637	464616	263622
638	465268	262851
639	466040	262147
640	466805	261440
641	467543	260717
642	468291	260000
643	469006	259264
644	469733	258535
645	470555	257858
646	471281	257128
647	472041	256417
648	472802	255706
649	473617	255025
650	474318	254281
651	475168	253617
652	475854	252866
653	476574	252132
654	477312	251408
655	478046	250682
656	478774	249953
657	479480	249213
658	480230	248495
659	481001	247788
660	481731	247060
661	482391	246296
662	483058	245536
663	483764	244796
664	484369	244005
665	485067	243261
666	485806	242538
667	486443	241765
668	487184	241043
669	487833	240276
670	488573	239553
671	489291	238821
672	490027	238096
673	490758	237369
674	491479	236638
675	492153	235884
676	492878	235154
677	493474	234363
678	494223	233646
679	494954	232919
680	495756	232226
681	496525	231517
682	497241	230784
683	497966	230054
684	498699	229329
685	499395	228586
686	500083	227839
687	500794	227104
688	501471	226353
689	502195	225623
690	502901	224886
691	503633	224160
692	504456	223474
693	505213	222760
694	506051	222079
695	506789	221356
696	507508	220624
697	508256	219904
698	508821	219106
699	509530	218370
700	510226	217628
701	510968	216906
702	511690	216176
703	512372	215429
704	513086	214695
705	513805	213964
706	514508	213226
707	515203	212485
708	515913	211750
709	516581	210998
710	517305	210269
711	518021	209536
712	518665	208775
713	519349	208030
714	519973	207262
715	520729	206546
716	521468	205823
717	522176	205088
718	522992	204396
719	523821	203708
720	524590	202996
721	525334	202275
722	525911	201490
723	526690	200782
724	527387	200043
725	528076	199301
726	528762	198558
727	529488	197830
728	530129	197071
729	530839	196337
730	531594	195621
731	532277	194877
732	533013	194153
733	533679	193404
734	534366	192662
735	535086	191933
736	535568	191118
737	536240	190372
738	536920	189629
739	537508	188854
740	538190	188112
741	538906	187382
742	539657	186664
743	540363	185931
744	541105	185210
745	541853	184491
746	542565	183760
747	543285	183031
748	543946	182283
749	544683	181561
750	545370	180821
751	545994	180062
752	546720	179336
753	547317	178567
754	547865	177784
755	548592	177058
756	549268	176317
757	550012	175597
758	550694	174858
759	551467	174147
760	552180	173418
761	552969	172712
762	553637	171968
763	554367	171244
764	555042	170503
765	555740	169769
766	556419	169029
767	557134	168301
768	558018	167623
769	558742	166897
770	559426	166159
771	560113	165422
772	560843	164697
773	561551	163967
774	562257	163236
775	562896	162485
776	563668	161773
777	564343	161033
778	564890	160257
779	565637	159538
780	566375	158817
781	567230	158128
782	568001	157415
783	568773	156702
784	569514	155981
785	570195	155244
786	570910	154515
787	571633	153789
788	572370	153067
789	573075	152336
790	573795	151609
791	574594	150903
792	575344	150184
793	576044	149452
794	576780	148729
795	577412	147980
796	578122	147250
797	578773	146506
798	579437	145765
799	580140	145035
800	580751	144281
801	581433	143546
802	582041	142792
803	582708	142053
804	583428	141327
805	584143	140600
806	584753	139848
807	585533	139136
808	586322	138427
809	587004	137692
810	587642	136947
811	588304	136208
812	589012	135480
813	589787	134767
814	590469	134033
815	591191	133307
816	591849	132568
817	592556	131840
818	593237	131106
819	593853	130358
820	594579	129634
821	595304	128910
822	595957	128170
823	596698	127450
824	597396	126720
825	598198	126012
826	598946	125293
827	599879	124612
828	600557	123878
829	601347	123167
830	602040	122436
831	602755	121710
832	603501	120990
833	604217	120263
834	604921	119535
835	605606	118803
836	606366	118085
837	607069	117357
838	607844	116642
839	608768	115955
840	609598	115251
841	610359	114532
842	611012	113794
843	611692	113061
844	612401	112334
845	613065	111598
846	613708	110858
847	614385	110125
848	615022	109385
849	615675	108648
850	616326	107911
851	616906	107162
852	617714	106452
853	618423	105725
854	619118	104996
855	619785	104263
856	620483	103534
857	621084	102790
858	621805	102065
859	622474	101333
860	623179	100606
861	623887	99879
862	624545	99145
863	625276	98423
864	626012	97701
865	626703	96972
866	627429	96249
867	627685	95454
868	628453	94738
869	629181	94015
870	629888	93289
871	630558	92559
872	631279	91835
873	632025	91115
874	632701	90385
875	633375	89655
876	633997	88918
877	634793	88205
878	635499	87480
879	636191	86753
880	636881	86025
881	637585	85300
882	638325	84579
883	638957	83845
884	639673	83121
885	640407	82400
886	641092	81672
887	641793	80946
888	642489	80220
889	643058	79479
890	643723	78749
891	644411	78022
892	645101	77296
893	645804	76571
894	646467	75842
895	647186	75119
896	647826	74388
897	648433	73652
898	649086	72922
899	649796	72199
900	650457	71470
901	650850	70713
902	651446	69978
903	652060	69245
904	652761	68521
905	653478	67800
906	654146	67073
907	654900	66355
908	655611	65633
909	656401	64918
910	657232	64208
911	658083	63499
912	658795	62776
913	659538	62057
914	660040	61315
915	660747	60592
916	661473	59871
917	662165	59147
918	662836	58421
919	663550	57700
920	664174	56970
921	664878	56247
922	665566	55524
923	666313	54805
924	667002	54081
925	667715	53359
926	668385	52634
927	669148	51916
928	669822	51192
929	670486	50466
930	671158	49742
931	671867	49020
932	672560	48297
933	673283	47576
934	674128	46864
935	674863	46144
936	675502	45418
937	676163	44693
938	676872	43971
939	677602	43251
940	678289	42528
941	678947	41803
942	679624	41080
943	680225	40352
944	680519	39606
945	681246	38887
946	681908	38163
947	682646	37444
948	683406	36726
949	683831	35991
950	684510	35269
951	685181	34546
952	685891	33826
953	686690	33110
954	687428	32391
955	688148	31672
956	688861	30951
957	689551	30230
958	690222	29508
959	690953	28789
960	691640	28068
961	692305	27346
962	692877	26621
963	693574	25901
964	694263	25180
965	694989	24461
966	695715	23742
967	696471	23023
968	697168	22303
969	697807	21581
970	698487	20861
971	698967	20134
972	699713	19416
973	700375	18695
974	701107	17977
975	701734	17255
976	702517	16538
977	703241	15819
978	703955	15100
979	704617	14379
980	705255	13659
981	705928	12939
982	706593	12219
983	707404	11502
984	708104	10783
985	708771	10063
986	709422	9343
987	710099	8624
988	710803	7905
989	711399	7185
990	711956	6465
991	712651	5747
992	713372	5028
993	714092	4310
994	714793	3591
995	715562	2873
996	716390	2155
997	717139	1437
998	717819	718
999	718480	0
