iter	RMSE
0	338.1225823
1	334.3431471
2	330.6775392
3	327.1879267
4	323.8070573
5	320.5611268
6	317.4488018
7	314.5019066
8	311.6939683
9	308.9240777
10	306.2784317
11	303.7589804
12	301.3187499
13	299.0671586
14	296.8353589
15	294.824857
16	292.8110283
17	290.9007286
18	289.0468043
19	287.3207256
20	285.644998
21	283.9896075
22	282.4298311
23	280.9955341
24	279.5475271
25	278.2298921
26	276.9379895
27	275.6810453
28	274.4394423
29	273.2914728
30	272.177988
31	271.0793804
32	270.0757533
33	269.0689764
34	268.093041
35	267.1709436
36	266.3027939
37	265.4774577
38	264.6527709
39	263.9219109
40	263.2233414
41	262.5233355
42	261.8348123
43	261.1812975
44	260.5274854
45	259.9136773
46	259.3070272
47	258.7540915
48	258.2142205
49	257.6884049
50	257.1568484
51	256.6364778
52	256.1317644
53	255.680227
54	255.2342682
55	254.8024104
56	254.3695605
57	253.9527002
58	253.5390097
59	253.153292
60	252.7799474
61	252.4062233
62	252.0747255
63	251.7091869
64	251.3987284
65	251.3224073
66	251.2452531
67	251.1567295
68	250.8191964
69	250.5244909
70	250.4519938
71	250.152112
72	249.8953894
73	249.6373311
74	249.4331817
75	249.3755302
76	249.2917357
77	249.2142034
78	249.138731
79	249.0733456
80	249.0191521
81	248.9574907
82	248.8846817
83	248.6208952
84	248.3793913
85	248.3286029
86	248.2711484
87	248.2221185
88	248.1728179
89	247.9299611
90	247.6878201
91	247.4480449
92	247.3938126
93	247.1760056
94	247.1241355
95	247.0726041
96	246.9875369
97	246.7388217
98	246.6860093
99	246.6422909
100	246.5935199
101	246.380185
102	246.1578219
103	246.1066842
104	245.9140129
105	245.8698436
106	245.6415958
107	245.5965828
108	245.5585518
109	245.3481018
110	245.3049054
111	245.2564506
112	245.2094272
113	245.1564069
114	245.1167755
115	245.0774459
116	244.9125195
117	244.8734816
118	244.8166449
119	244.783441
120	244.7456375
121	244.7120576
122	244.6792333
123	244.4955651
124	244.3250667
125	244.2938635
126	244.2640598
127	244.1056903
128	243.9657757
129	243.8114909
130	243.6601144
131	243.6320028
132	243.605199
133	243.5773514
134	243.5510612
135	243.4030795
136	243.2659117
137	243.1311738
138	242.9821165
139	242.9473016
140	242.8142393
141	242.7887459
142	242.6521169
143	242.6265371
144	242.6014147
145	242.5804271
146	242.448679
147	242.3299741
148	242.2090923
149	242.1854652
150	242.1619147
151	242.1390709
152	242.1173981
153	242.0956162
154	242.0737483
155	242.0528479
156	242.0312284
157	241.891004
158	241.7850849
159	241.6880875
160	241.5795138
161	241.5591204
162	241.5399768
163	241.5200477
164	241.5006565
165	241.4779299
166	241.3742392
167	241.3544692
168	241.3349376
169	241.3152449
170	241.2967607
171	241.2775736
172	241.2583803
173	241.2401649
174	241.1233157
175	241.0205595
176	241.0029969
177	240.9860383
178	240.9017083
179	240.8843044
180	240.7789447
181	240.7633977
182	240.7473954
183	240.7320634
184	240.6397786
185	240.5325451
186	240.5154538
187	240.392507
188	240.3766516
189	240.3605348
190	240.2531426
191	240.172132
192	240.1577282
193	240.1444253
194	240.1294277
195	240.1153083
196	240.1014729
197	240.091341
198	240.009699
199	239.9173818
200	239.8454105
201	239.8323282
202	239.8200048
203	239.7256955
204	239.7129082
205	239.5802929
206	239.5668322
207	239.477798
208	239.3682558
209	239.2879159
210	239.2078214
211	239.1948948
212	239.1315347
213	239.1119483
214	239.0997661
215	239.0159571
216	238.9423738
217	238.9304562
218	238.9198707
219	238.908244
220	238.8032166
221	238.7239864
222	238.7128368
223	238.7031612
224	238.6151886
225	238.5143918
226	238.5037146
227	238.4936201
228	238.4840383
229	238.4731317
230	238.4577681
231	238.3878157
232	238.3225324
233	238.3197999
234	238.311037
235	238.2468049
236	238.2394364
237	238.1619958
238	238.1535659
239	238.1458704
240	238.0636992
241	238.0571279
242	238.0479375
243	238.0456953
244	237.9766777
245	237.9195225
246	237.8577072
247	237.8545157
248	237.8453944
249	237.842285
250	237.7743353
251	237.7665349
252	237.7577792
253	237.6977112
254	237.5978225
255	237.5957679
256	237.5295102
257	237.5225974
258	237.5202576
259	237.5180198
260	237.51576
261	237.4692935
262	237.4606913
263	237.3923856
264	237.3124413
265	237.2289247
266	237.2216584
267	237.2198865
268	237.2137372
269	237.1695481
270	237.1194614
271	237.0421832
272	237.035458
273	237.0294453
274	237.0221655
275	236.9750319
276	236.9482833
277	236.8846921
278	236.8286366
279	236.8262356
280	236.7813641
281	236.7797232
282	236.7705912
283	236.7310171
284	236.7252716
285	236.7175139
286	236.6750931
287	236.6616996
288	236.6557086
289	236.5966569
290	236.590809
291	236.5473009
292	236.4750982
293	236.4105961
294	236.387051
295	236.3849082
296	236.3276759
297	236.2841985
298	236.2178834
299	236.2165558
300	236.1611469
301	236.1112804
302	236.1065653
303	236.101393
304	236.0326406
305	236.0306879
306	236.0269726
307	236.0257444
308	236.0047709
309	235.9363821
310	235.8818009
311	235.843332
312	235.8037032
313	235.7993922
314	235.7982534
315	235.7592407
316	235.7062147
317	235.6724561
318	235.6200585
319	235.5895104
320	235.5584381
321	235.4756515
322	235.4736997
323	235.4602133
324	235.4592199
325	235.4129467
326	235.4119709
327	235.3810394
328	235.3755844
329	235.3728156
330	235.286088
331	235.2635454
332	235.2353618
333	235.1938461
334	235.1678326
335	235.1668308
336	235.1651306
337	235.089152
338	235.051451
339	235.0467226
340	235.0274254
341	235.0175403
342	235.0167287
343	234.9659676
344	234.945632
345	234.9156646
346	234.8746711
347	234.8308298
348	234.7756611
349	234.7749302
350	234.7309594
351	234.6621725
352	234.6300597
353	234.6293646
354	234.6197369
355	234.5705725
356	234.5699743
357	234.5692321
358	234.537738
359	234.5371008
360	234.4958601
361	234.4525732
362	234.4376848
363	234.4238876
364	234.36667
365	234.3296051
366	234.2996177
367	234.2973036
368	234.2949581
369	234.2689948
370	234.2684281
371	234.2673507
372	234.2243442
373	234.1785302
374	234.1779936
375	234.1770604
376	234.1487849
377	234.1482171
378	234.1317679
379	234.0614053
380	234.0100793
381	233.9865822
382	233.9431451
383	233.9159228
384	233.9154335
385	233.8701312
386	233.8464631
387	233.8278653
388	233.7684153
389	233.7220923
390	233.6876705
391	233.6786538
392	233.6512265
393	233.6168752
394	233.5912138
395	233.5384564
396	233.5380334
397	233.4922716
398	233.4788166
399	233.4506141
400	233.4190497
401	233.3887842
402	233.3545746
403	233.3542317
404	233.2955653
405	233.2706638
406	233.2579695
407	233.2279206
408	233.2267393
409	233.1846477
410	233.1258198
411	233.1150223
412	233.0933076
413	233.0805867
414	233.0612415
415	233.0382434
416	232.980034
417	232.9797207
418	232.9521826
419	232.9165988
420	232.8580337
421	232.8153992
422	232.7865617
423	232.7678793
424	232.7395579
425	232.7223731
426	232.6916561
427	232.6724849
428	232.6126888
429	232.5610102
430	232.5240992
431	232.5007359
432	232.4657915
433	232.4410486
434	232.4118745
435	232.3815699
436	232.3373596
437	232.3163737
438	232.2918139
439	232.2751642
440	232.2505609
441	232.237449
442	232.2156897
443	232.1764855
444	232.1588011
445	232.1202585
446	232.1031545
447	232.0871715
448	232.0683038
449	232.0515803
450	232.0183024
451	232.0023363
452	231.968585
453	231.9464205
454	231.9334978
455	231.9187194
456	231.8892243
457	231.8456646
458	231.8249452
459	231.7908106
460	231.7628546
461	231.7329883
462	231.7176253
463	231.6997178
464	231.6847199
465	231.6628835
466	231.6098373
467	231.5984609
468	231.5649039
469	231.5248401
470	231.4655414
471	231.4448897
472	231.4188519
473	231.3806846
474	231.349102
475	231.3156187
476	231.2872067
477	231.2495617
478	231.2204764
479	231.1909924
480	231.1692751
481	231.1414268
482	231.1137021
483	231.0760189
484	231.0354646
485	231.0043004
486	230.9699436
487	230.9266284
488	230.8896209
489	230.8775719
490	230.8508628
491	230.8331544
492	230.7961304
493	230.7689817
494	230.7506927
495	230.7337526
496	230.7156864
497	230.6763616
498	230.6577323
499	230.6324947
500	230.6149765
501	230.5903544
502	230.566425
503	230.5379536
504	230.5319215
505	230.5223489
506	230.5010838
507	230.4773728
508	230.4555454
509	230.4170064
510	230.3961097
511	230.3726866
512	230.3624184
513	230.3346989
514	230.3186832
515	230.2720991
516	230.2330577
517	230.1944935
518	230.1672491
519	230.1530315
520	230.13475
521	230.1051895
522	230.068463
523	230.0442183
524	230.0205717
525	229.9804742
526	229.9667919
527	229.9491528
528	229.9361637
529	229.9222654
530	229.9153157
531	229.9004256
532	229.8775791
533	229.854561
534	229.8361857
535	229.8175378
536	229.810831
537	229.8058009
538	229.7837838
539	229.7788754
540	229.7569582
541	229.7239471
542	229.6806675
543	229.6759152
544	229.6665272
545	229.649468
546	229.6335922
547	229.6208174
548	229.6024756
549	229.5637877
550	229.5509771
551	229.5371956
552	229.5017554
553	229.4855077
554	229.448245
555	229.433386
556	229.417686
557	229.4019131
558	229.3914891
559	229.3837472
560	229.3713903
561	229.3332163
562	229.3244281
563	229.3001461
564	229.2717689
565	229.2538971
566	229.2108453
567	229.1792059
568	229.1493286
569	229.1304958
570	229.1024597
571	229.0966896
572	229.0853284
573	229.048875
574	229.0259059
575	229.0002907
576	228.9787282
577	228.9540434
578	228.9337385
579	228.9147062
580	228.8874634
581	228.8565277
582	228.8363599
583	228.8024802
584	228.7790629
585	228.7674604
586	228.7450835
587	228.7220601
588	228.684234
589	228.6617059
590	228.6258528
591	228.579504
592	228.5523404
593	228.5240089
594	228.4956661
595	228.4645199
596	228.4353554
597	228.4268888
598	228.3975442
599	228.3759342
600	228.3457196
601	228.3057205
602	228.257606
603	228.2402538
604	228.2051894
605	228.1806375
606	228.1424089
607	228.1173548
608	228.0705892
609	228.0568773
610	228.0363469
611	227.9968887
612	227.9546458
613	227.924933
614	227.9119815
615	227.8882861
616	227.8628486
617	227.8398373
618	227.809447
619	227.7734668
620	227.7415568
621	227.7048145
622	227.6669763
623	227.6356424
624	227.6142674
625	227.6019739
626	227.5686426
627	227.5390142
628	227.5169129
629	227.4920762
630	227.4678188
631	227.4320155
632	227.4095067
633	227.3971544
634	227.3667146
635	227.3373796
636	227.308917
637	227.2881092
638	227.2610069
639	227.2283702
640	227.2048835
641	227.1869396
642	227.1589503
643	227.1379083
644	227.1063373
645	227.0827882
646	227.0600398
647	227.0203226
648	226.9938307
649	226.9742882
650	226.9373464
651	226.9073726
652	226.8963978
653	226.8732381
654	226.8607362
655	226.8383121
656	226.8296173
657	226.8084749
658	226.7909538
659	226.763284
660	226.743015
661	226.712173
662	226.7033971
663	226.6750398
664	226.6278188
665	226.5920647
666	226.561964
667	226.5441236
668	226.5162696
669	226.4875564
670	226.4655767
671	226.4457418
672	226.4200302
673	226.4054974
674	226.3685974
675	226.3380718
676	226.3175098
677	226.2995139
678	226.2651722
679	226.2342355
680	226.205068
681	226.1863892
682	226.1639979
683	226.1354655
684	226.1238657
685	226.0971408
686	226.0756629
687	226.0672515
688	226.0395184
689	226.0092448
690	225.9792166
691	225.9716101
692	225.9515041
693	225.9201473
694	225.9022119
695	225.8834595
696	225.8563461
697	225.8334442
698	225.8023793
699	225.7684333
700	225.7475074
701	225.7279486
702	225.7087027
703	225.7016256
704	225.6781505
705	225.6536372
706	225.6270052
707	225.6153951
708	225.5891244
709	225.569487
710	225.5614549
711	225.5396112
712	225.5066841
713	225.4806552
714	225.4539166
715	225.4383181
716	225.416671
717	225.3979351
718	225.3689332
719	225.3482607
720	225.3193437
721	225.3008292
722	225.2802839
723	225.2460198
724	225.2198532
725	225.1903359
726	225.171031
727	225.1521841
728	225.1421493
729	225.1212284
730	225.1136662
731	225.1069412
732	225.0924656
733	225.0747536
734	225.0497269
735	225.0221746
736	225.0029961
737	224.9815904
738	224.9513678
739	224.9443824
740	224.9209245
741	224.8987451
742	224.8682154
743	224.8430187
744	224.8334184
745	224.8241096
746	224.800171
747	224.781448
748	224.7720862
749	224.7422523
750	224.7140202
751	224.6909048
752	224.6839115
753	224.6774137
754	224.6594604
755	224.6295916
756	224.6070116
757	224.5905351
758	224.5669896
759	224.5321248
760	224.5054121
761	224.4934125
762	224.4870798
763	224.4635973
764	224.4361976
765	224.4194303
766	224.3811459
767	224.3591773
